userID,itemID,rating,itemName,category,userName,occupation
1882,6,3,Egg & cheese wrap,EggFood,Albert Stout,professor
1882,22,4,12 Piece Donut Sticks,Veg,Albert Stout,professor
1882,9,4,Hot Chocolate,Drinks,Albert Stout,professor
1882,30,3,Filet-O-Fish,SeaFood,Albert Stout,professor
1882,28,4,Baked Apple Pie,Drinks,Albert Stout,professor
1882,49,2,Grilled Chicken Pizza,Non Veg,Albert Stout,professor
1966,6,1,Egg & cheese wrap,EggFood,Sarah Campbell,architecturer
1966,16,1,Frozen Chocolate,Drinks,Sarah Campbell,architecturer
1966,42,1,Chicken Salad,Non Veg,Sarah Campbell,architecturer
1966,32,4,Seaside Shrimp Trio,SeaFood,Sarah Campbell,architecturer
1966,44,2,All American Cheeseburger,Non Veg,Sarah Campbell,architecturer
1966,5,3,Ham egg & cheese burger,Non Veg,Sarah Campbell,architecturer
1966,40,2,Chips & Salsa,Veg,Sarah Campbell,architecturer
1569,6,3,Egg & cheese wrap,EggFood,Adam Cruz,sportsperson
1569,10,1,Cappuccino,Drinks,Adam Cruz,sportsperson
1569,28,4,Baked Apple Pie,Drinks,Adam Cruz,sportsperson
1569,45,4,Avacado Bacon Burger,Non Veg,Adam Cruz,sportsperson
1569,36,1,Farm Raised Catfish,SeaFood,Adam Cruz,sportsperson
396,6,2,Egg & cheese wrap,EggFood,Monica Garcia,architecturer
396,25,4,Fruit Punch Slushie,Drinks,Monica Garcia,architecturer
396,10,1,Cappuccino,Drinks,Monica Garcia,architecturer
396,4,2,Turkey Sausage Burger,Non Veg,Monica Garcia,architecturer
396,46,3,Avacado Toast,Veg,Monica Garcia,architecturer
396,15,4,Macchiato,Drinks,Monica Garcia,architecturer
396,5,3,Ham egg & cheese burger,Non Veg,Monica Garcia,architecturer
396,41,4,Ultimate Nachos,Veg,Monica Garcia,architecturer
396,36,1,Farm Raised Catfish,SeaFood,Monica Garcia,architecturer
591,6,1,Egg & cheese wrap,EggFood,Michael Martinez,educator
591,6,2,Egg & cheese wrap,EggFood,Michael Martinez,educator
591,27,3,Chocolate Chip Cookie,Bakery,Michael Martinez,educator
591,19,1,Big Mac,Non Veg,Michael Martinez,educator
591,21,3,HashBrowns,Veg,Michael Martinez,educator
591,43,4,Veg Salad,Veg,Michael Martinez,educator
591,32,2,Seaside Shrimp Trio,SeaFood,Michael Martinez,educator
591,36,1,Farm Raised Catfish,SeaFood,Michael Martinez,educator
591,31,1,McChicken,Non Veg,Michael Martinez,educator
591,35,1,Fish & Chips,SeaFood,Michael Martinez,educator
591,29,1,Chicken McNuggets,Non Veg,Michael Martinez,educator
1994,6,1,Egg & cheese wrap,EggFood,Michaela Marks,doctor
1994,17,3,Muffin,Bakery,Michaela Marks,doctor
1994,21,4,HashBrowns,Veg,Michaela Marks,doctor
1994,15,1,Macchiato,Drinks,Michaela Marks,doctor
1854,6,2,Egg & cheese wrap,EggFood,Shirley Mcneil,doctor
1854,19,2,Big Mac,Non Veg,Shirley Mcneil,doctor
1854,17,2,Muffin,Bakery,Shirley Mcneil,doctor
1854,3,1,Bacon egg & cheese burger,Non Veg,Shirley Mcneil,doctor
875,6,1,Egg & cheese wrap,EggFood,Sonya Gonzales,engineer
875,22,1,12 Piece Donut Sticks,Veg,Sonya Gonzales,engineer
875,38,1,Street Tacos,Non Veg,Sonya Gonzales,engineer
875,2,1,Sausage egg & cheese burger,Non Veg,Sonya Gonzales,engineer
875,12,3,Iced Tea,Drinks,Sonya Gonzales,engineer
875,18,1,Bagel with cream cheese,Bakery,Sonya Gonzales,engineer
350,6,4,Egg & cheese wrap,EggFood,Christine Wise,student
350,47,2,Veggie Pasta,Veg,Christine Wise,student
350,15,1,Macchiato,Drinks,Christine Wise,student
1585,6,3,Egg & cheese wrap,EggFood,Henry Sanchez,engineer
1585,27,2,Chocolate Chip Cookie,Bakery,Henry Sanchez,engineer
173,6,2,Egg & cheese wrap,EggFood,Danielle Castillo,scientist
173,27,1,Chocolate Chip Cookie,Bakery,Danielle Castillo,scientist
173,2,1,Sausage egg & cheese burger,Non Veg,Danielle Castillo,scientist
173,30,1,Filet-O-Fish,SeaFood,Danielle Castillo,scientist
173,49,1,Grilled Chicken Pizza,Non Veg,Danielle Castillo,scientist
173,31,1,McChicken,Non Veg,Danielle Castillo,scientist
173,35,2,Fish & Chips,SeaFood,Danielle Castillo,scientist
850,6,4,Egg & cheese wrap,EggFood,Julie Edwards,student
850,25,3,Fruit Punch Slushie,Drinks,Julie Edwards,student
850,19,3,Big Mac,Non Veg,Julie Edwards,student
850,43,2,Veg Salad,Veg,Julie Edwards,student
850,4,4,Turkey Sausage Burger,Non Veg,Julie Edwards,student
850,46,1,Avacado Toast,Veg,Julie Edwards,student
850,8,1,Cold Coffee,Drinks,Julie Edwards,student
850,31,3,McChicken,Non Veg,Julie Edwards,student
1933,6,1,Egg & cheese wrap,EggFood,Cassandra Davis,scientist
1933,39,2,Buffalo Mac & Cheese,Non Veg,Cassandra Davis,scientist
1933,43,4,Veg Salad,Veg,Cassandra Davis,scientist
1933,32,4,Seaside Shrimp Trio,SeaFood,Cassandra Davis,scientist
1111,6,4,Egg & cheese wrap,EggFood,George Wood,educator
1111,15,1,Macchiato,Drinks,George Wood,educator
89,6,3,Egg & cheese wrap,EggFood,Miranda Vasquez,sportsperson
89,19,3,Big Mac,Non Veg,Miranda Vasquez,sportsperson
89,14,2,Latte,Drinks,Miranda Vasquez,sportsperson
89,18,1,Bagel with cream cheese,Bakery,Miranda Vasquez,sportsperson
